	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	0.0	35969.0	35471.0	32405.0	30942.0	30876.0	28216.0	31538.0	30215.0	23234.0	30302.0	30396.0
A2Du	35414.0	0.0	34127.0	31766.0	29860.0	32377.0	28119.0	30266.0	30158.0	22630.0	29950.0	30847.0
A2Huang	35891.0	34878.0	0.0	32196.0	31486.0	30570.0	27766.0	31329.0	30141.0	23786.0	30076.0	30376.0
A2Li	32205.0	31578.0	31845.0	0.0	28430.0	29111.0	26394.0	29902.0	28676.0	21647.0	28019.0	28865.0
D10Udall	29141.0	29145.0	28924.0	28240.0	0.0	29895.0	27232.0	29166.0	27588.0	20872.0	27077.0	28208.0
D5Paterson	30193.0	31258.0	29502.0	28881.0	29559.0	0.0	29972.0	30685.0	29042.0	21404.0	28275.0	29840.0
D5Udall	27497.0	27891.0	27167.0	26774.0	27584.0	30840.0	0.0	29003.0	27618.0	20783.0	27200.0	28063.0
D5Wang	29781.0	29533.0	29057.0	29825.0	29231.0	30877.0	28804.0	0.0	28031.0	21575.0	27461.0	28801.0
F1Grover	29567.0	29622.0	29361.0	28467.0	27273.0	28962.0	26868.0	27733.0	0.0	21182.0	29731.0	29685.0
G2Cai	24435.0	24527.0	24061.0	23127.0	25876.0	23401.0	23737.0	26149.0	22658.0	0.0	23683.0	23642.0
Goano	29502.0	29455.0	29278.0	28250.0	27264.0	28735.0	27034.0	27587.0	30236.0	21649.0	0.0	29729.0
Gosto	30153.0	30566.0	29930.0	29197.0	28543.0	30503.0	28099.0	28924.0	30414.0	22535.0	29991.0	0.0
