	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	0.0	616.0	831.0	429.0	761.0	317.0	553.0	599.0	464.0	1185.0	655.0	507.0
A2Du	473.0	0.0	455.0	360.0	459.0	514.0	476.0	364.0	433.0	674.0	503.0	533.0
A2Huang	876.0	522.0	0.0	452.0	1129.0	285.0	456.0	858.0	460.0	1262.0	524.0	451.0
A2Li	383.0	287.0	357.0	0.0	255.0	241.0	260.0	391.0	247.0	475.0	254.0	298.0
D10Udall	396.0	279.0	295.0	262.0	0.0	313.0	400.0	304.0	259.0	278.0	306.0	371.0
D5Paterson	327.0	353.0	294.0	203.0	278.0	0.0	296.0	193.0	261.0	248.0	285.0	401.0
D5Udall	437.0	440.0	431.0	272.0	443.0	298.0	0.0	269.0	408.0	410.0	516.0	648.0
D5Wang	450.0	336.0	390.0	479.0	282.0	192.0	255.0	0.0	226.0	412.0	232.0	353.0
F1Grover	431.0	367.0	445.0	279.0	240.0	266.0	409.0	213.0	0.0	310.0	564.0	469.0
G2Cai	1091.0	826.0	1190.0	825.0	721.0	214.0	470.0	877.0	300.0	0.0	414.0	488.0
Goano	597.0	483.0	460.0	281.0	314.0	271.0	483.0	237.0	628.0	416.0	0.0	658.0
Gosto	423.0	423.0	380.0	295.0	306.0	382.0	678.0	315.0	453.0	538.0	691.0	0.0
