	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	0.0	2708.0	2190.0	2073.0	3459.0	2412.0	2878.0	3668.0	2468.0	2354.0	3001.0	4637.0
A2Du	2150.0	0.0	1486.0	1548.0	2380.0	2663.0	2401.0	2403.0	2156.0	1987.0	2525.0	4557.0
A2Huang	2536.0	2408.0	0.0	1671.0	3670.0	2625.0	2759.0	3470.0	2490.0	2936.0	2965.0	4712.0
A2Li	1976.0	1705.0	1545.0	0.0	2232.0	1888.0	2083.0	2524.0	2113.0	1939.0	2004.0	3958.0
D10Udall	2095.0	2038.0	2022.0	1948.0	0.0	2015.0	2061.0	1874.0	2167.0	1836.0	2179.0	3877.0
D5Paterson	1595.0	1621.0	1452.0	1460.0	1495.0	0.0	1239.0	956.0	1808.0	1583.0	1686.0	3709.0
D5Udall	2380.0	2468.0	2324.0	2526.0	2527.0	2568.0	0.0	2384.0	2905.0	1987.0	2685.0	4437.0
D5Wang	2040.0	1831.0	1681.0	2264.0	1937.0	1292.0	1953.0	0.0	2025.0	2052.0	2083.0	3880.0
F1Grover	1560.0	1483.0	1424.0	1523.0	1566.0	1564.0	1767.0	1427.0	0.0	1476.0	1958.0	3658.0
G2Cai	4323.0	4580.0	3940.0	3670.0	7066.0	4341.0	5543.0	6789.0	3857.0	0.0	4704.0	5237.0
Goano	2206.0	2144.0	2230.0	2186.0	2298.0	2369.0	2438.0	2237.0	2728.0	1953.0	0.0	4332.0
Gosto	4685.0	4729.0	4569.0	4459.0	4437.0	4710.0	4433.0	4290.0	4888.0	3691.0	4745.0	0.0
