	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	0.0	727.0	751.0	792.0	851.0	657.0	966.0	783.0	613.0	1494.0	887.0	1853.0
A2Du	873.0	0.0	726.0	724.0	839.0	668.0	999.0	766.0	582.0	1541.0	886.0	1874.0
A2Huang	780.0	488.0	0.0	670.0	853.0	616.0	948.0	723.0	566.0	1478.0	914.0	1848.0
A2Li	735.0	452.0	540.0	0.0	776.0	574.0	907.0	869.0	555.0	1380.0	845.0	1774.0
D10Udall	779.0	646.0	773.0	863.0	0.0	618.0	994.0	747.0	593.0	1429.0	853.0	1753.0
D5Paterson	781.0	752.0	712.0	810.0	837.0	0.0	1004.0	552.0	600.0	1385.0	923.0	1840.0
D5Udall	861.0	740.0	809.0	832.0	837.0	541.0	0.0	636.0	703.0	1473.0	965.0	1760.0
D5Wang	803.0	633.0	708.0	964.0	771.0	409.0	882.0	0.0	534.0	1374.0	860.0	1761.0
F1Grover	906.0	785.0	867.0	904.0	898.0	759.0	1090.0	847.0	0.0	1480.0	1129.0	1958.0
G2Cai	820.0	693.0	821.0	779.0	760.0	658.0	811.0	746.0	585.0	0.0	823.0	1488.0
Goano	940.0	792.0	915.0	867.0	913.0	714.0	1079.0	827.0	800.0	1538.0	0.0	1937.0
Gosto	1646.0	1531.0	1616.0	1608.0	1593.0	1521.0	1770.0	1512.0	1473.0	1877.0	1753.0	0.0
