	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	0.0	31918.0	31699.0	29111.0	25871.0	27490.0	23819.0	26488.0	26670.0	18201.0	25759.0	23399.0
A2Du	31918.0	0.0	31460.0	29134.0	26182.0	28532.0	24243.0	26733.0	26987.0	18428.0	26036.0	23883.0
A2Huang	31699.0	31460.0	0.0	29403.0	25834.0	27044.0	23603.0	26278.0	26625.0	18110.0	25673.0	23365.0
A2Li	29111.0	29134.0	29403.0	0.0	25167.0	26408.0	23144.0	26118.0	25761.0	17853.0	24916.0	22835.0
D10Udall	25871.0	26182.0	25834.0	25167.0	0.0	26949.0	23777.0	26241.0	24569.0	17329.0	23739.0	22207.0
D5Paterson	27490.0	28532.0	27044.0	26408.0	26949.0	0.0	27433.0	28984.0	26373.0	18188.0	25381.0	23890.0
D5Udall	23819.0	24243.0	23603.0	23144.0	23777.0	27433.0	0.0	25714.0	23602.0	16913.0	23034.0	21218.0
D5Wang	26488.0	26733.0	26278.0	26118.0	26241.0	28984.0	25714.0	0.0	25246.0	17737.0	24286.0	22807.0
F1Grover	26670.0	26987.0	26625.0	25761.0	24569.0	26373.0	23602.0	25246.0	0.0	17916.0	26080.0	23600.0
G2Cai	18201.0	18428.0	18110.0	17853.0	17329.0	18188.0	16913.0	17737.0	17916.0	0.0	17742.0	16429.0
Goano	25759.0	26036.0	25673.0	24916.0	23739.0	25381.0	23034.0	24286.0	26080.0	17742.0	0.0	22802.0
Gosto	23399.0	23883.0	23365.0	22835.0	22207.0	23890.0	21218.0	22807.0	23600.0	16429.0	22802.0	0.0
