	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
Number of genes	43952	40960	43278	40134	38871	37505	41030	40976	38378	38281	38480	37889
Number of genes in orthogroups	42665	40502	42521	37824	35297	36702	37116	38124	36324	34492	36720	36005
Number of unassigned genes	1287	458	757	2310	3574	803	3914	2852	2054	3789	1760	1884
Percentage of genes in orthogroups	97.1	98.9	98.3	94.2	90.8	97.9	90.5	93.0	94.6	90.1	95.4	95.0
Percentage of unassigned genes	2.9	1.1	1.7	5.8	9.2	2.1	9.5	7.0	5.4	9.9	4.6	5.0
Number of orthogroups containing species	27913	27330	27146	26541	25286	26323	24944	25498	24800	18785	24186	23399
Percentage of orthogroups containing species	81.7	80.0	79.5	77.7	74.0	77.0	73.0	74.6	72.6	55.0	70.8	68.5
Number of species-specific orthogroups	6	0	1	8	7	1	3	13	5	13	3	5
Number of genes in species-specific orthogroups	13	0	2	36	16	7	11	59	23	60	9	68
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	6254	6837	7021	7626	8881	7844	9223	8669	9367	15382	9981	10768
'1	21824	21496	21345	20676	19642	20550	19536	19831	19559	14504	18712	17662
'2	3935	3830	3813	3906	3743	3852	3540	3761	3490	2869	3608	3613
'3	1129	1052	1062	1105	1107	1080	1005	1063	979	809	980	1167
'4	414	366	402	370	354	364	354	372	330	293	387	433
'5	188	165	172	166	153	160	158	155	146	111	158	214
'6	114	108	108	87	104	109	88	85	77	57	105	111
'7	65	64	57	55	46	65	66	48	45	32	57	58
'8	49	38	42	41	43	34	53	43	37	19	32	29
'9	33	23	26	28	22	27	27	18	19	13	23	12
'10	28	31	14	10	12	16	22	20	17	16	13	15
11-15	70	83	45	53	41	41	44	51	45	24	41	29
16-20	18	34	19	19	8	15	16	16	13	4	18	13
21-50	33	30	21	19	9	8	21	22	24	15	31	25
51-100	7	6	11	4	2	2	9	3	12	7	13	13
