	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
OG0034167	Ghe01G00640											
OG0034168	Ghe01G01120											
OG0034169	Ghe01G02040											
OG0034170	Ghe01G02680											
OG0034171	Ghe01G03450											
OG0034172	Ghe01G03550											
OG0034173	Ghe01G04030											
OG0034174	Ghe01G05120											
OG0034175	Ghe01G05380											
OG0034176	Ghe01G05420											
OG0034177	Ghe01G05710											
OG0034178	Ghe01G06590											
OG0034179	Ghe01G07390											
OG0034180	Ghe01G07420											
OG0034181	Ghe01G07920											
OG0034182	Ghe01G08010											
OG0034183	Ghe01G08170											
OG0034184	Ghe01G09860											
OG0034185	Ghe01G09900											
OG0034186	Ghe01G10080											
OG0034187	Ghe01G10460											
OG0034188	Ghe01G10760											
OG0034189	Ghe01G11180											
OG0034190	Ghe01G11270											
OG0034191	Ghe01G12220											
OG0034192	Ghe01G12520											
OG0034193	Ghe01G12550											
OG0034194	Ghe01G12640											
OG0034195	Ghe01G12680											
OG0034196	Ghe01G13390											
OG0034197	Ghe01G14460											
OG0034198	Ghe01G14540											
OG0034199	Ghe01G14610											
OG0034200	Ghe01G14960											
OG0034201	Ghe01G15220											
OG0034202	Ghe01G15610											
OG0034203	Ghe01G16750											
OG0034204	Ghe01G16810											
OG0034205	Ghe01G17000											
OG0034206	Ghe01G17460											
OG0034207	Ghe01G17550											
OG0034208	Ghe01G17650											
OG0034209	Ghe01G18520											
OG0034210	Ghe01G18530											
OG0034211	Ghe01G19620											
OG0034212	Ghe01G19730											
OG0034213	Ghe01G20060											
OG0034214	Ghe01G20090											
OG0034215	Ghe01G20830											
OG0034216	Ghe01G20930											
OG0034217	Ghe01G21490											
OG0034218	Ghe01G22170											
OG0034219	Ghe01G22370											
OG0034220	Ghe01G22430											
OG0034221	Ghe01G22970											
OG0034222	Ghe01G23230											
OG0034223	Ghe01G23470											
OG0034224	Ghe01G23510											
OG0034225	Ghe01G23640											
OG0034226	Ghe01G23740											
OG0034227	Ghe01G23940											
OG0034228	Ghe01G24380											
