	A1Huang	A2Du	A2Huang	A2Li	D10Udall	D5Paterson	D5Udall	D5Wang	F1Grover	G2Cai	Goano	Gosto
A1Huang	27913	25931	25749	24684	23063	23754	21853	23178	23084	17688	22411	22143
A2Du	25931	27330	25319	24278	23000	24160	21932	23102	23037	17713	22354	22220
A2Huang	25749	25319	27146	24454	22912	23237	21503	22911	22769	17509	22097	21905
A2Li	24684	24278	24454	26541	22523	22910	21246	22915	22435	17336	21771	21604
D10Udall	23063	23000	22912	22523	25286	23045	21566	22773	21842	17095	21246	21272
D5Paterson	23754	24160	23237	22910	23045	26323	23292	23560	22765	17485	22090	22275
D5Udall	21853	21932	21503	21246	21566	23292	24944	22056	21250	16838	20800	20645
D5Wang	23178	23102	22911	22915	22773	23560	22056	25498	22019	17238	21372	21508
F1Grover	23084	23037	22769	22435	21842	22765	21250	22019	24800	17172	22064	21781
G2Cai	17688	17713	17509	17336	17095	17485	16838	17238	17172	18785	17051	16873
Goano	22411	22354	22097	21771	21246	22090	20800	21372	22064	17051	24186	21164
Gosto	22143	22220	21905	21604	21272	22275	20645	21508	21781	16873	21164	23399
